"BehaviorSpace results (NetLogo 7.0.4)","Table version 2.0"
"traffic-simulation.nlogox"
"StressTest_Semaforo_Pare"
"09/10/2026 15:38:47:314 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","method","red-spawn","blue-spawn","has-seed","seed","[step]","fluxo-vermelhos","fluxo-azuis","tempo-total-vermelhos","tempo-total-azuis"
"81","stop sign","6","2","true","1","5000","304","102","356.2587266859244","320.0823234955791"
"82","red light","6","2","true","1","5000","308","108","4946.625081749713","1404.0087361283247"
"59","stop sign","30","1","true","1","5000","1282","53","5950.896893970908","4146.8412466185455"
"85","stop sign","8","2","true","1","5000","373","85","564.3338600377097","324.8499996133164"
"84","red light","7","2","true","1","5000","355","104","6143.3589306156055","1767.9674095004489"
"88","red light","9","2","true","1","5000","431","110","8368.62783098903","1604.2908368714077"
"80","red light","5","2","true","1","5000","250","110","4119.294371207288","1595.5188657352544"
"86","red light","8","2","true","1","5000","369","101","7248.50829806213","1440.2435019662637"
"87","stop sign","9","2","true","1","5000","449","95","707.6172393445484","441.60546588585174"
"63","stop sign","32","1","true","1","5000","1333","47","7524.821091404683","3992.9859534875027"
"91","stop sign","11","2","true","1","5000","520","106","937.879418771416","570.627146224078"
"90","red light","10","2","true","1","5000","501","102","10184.148303418573","1608.851741744782"
"93","stop sign","12","2","true","1","5000","603","97","1015.156875231224","658.8328134634637"
"92","red light","11","2","true","1","5000","513","110","10945.797713498925","1980.0132005073024"
"94","red light","12","2","true","1","5000","566","107","12673.829958889977","1846.2480339507715"
"89","stop sign","10","2","true","1","5000","481","114","732.4863598952832","535.9756897777798"
"96","red light","13","2","true","1","5000","616","114","14005.621891730058","1832.9561582817405"
"98","red light","14","2","true","1","5000","659","95","13914.10254190419","1461.5290733143477"
"99","stop sign","15","2","true","1","5000","677","93","1290.0177253171648","767.2488244518017"
"101","stop sign","16","2","true","1","5000","767","104","1837.8285166413705","1008.6530996921895"
"100","red light","15","2","true","1","5000","723","116","20287.570742528962","1715.6148876234022"
"97","stop sign","14","2","true","1","5000","652","98","1337.3729079839761","722.5090192006057"
"65","stop sign","33","1","true","1","5000","1334","59","6642.044086443317","4376.368994540577"
"103","stop sign","17","2","true","1","5000","759","97","1728.840804377963","1070.968842709574"
"107","stop sign","19","2","true","1","5000","803","121","1930.8817646225054","1192.9218450996743"
"105","stop sign","18","2","true","1","5000","833","107","2301.0930618784478","1644.1744631221557"
"106","red light","18","2","true","1","5000","762","109","23616.033669228076","1781.400202080967"
"109","stop sign","20","2","true","1","5000","890","104","2669.6100954256785","1799.7663407543619"
"111","stop sign","21","2","true","1","5000","981","99","3307.496372038737","1755.588526679272"
"110","red light","20","2","true","1","5000","808","95","27416.565476241463","1489.6619623864988"
"104","red light","17","2","true","1","5000","762","103","23275.258229533236","1342.4257413922774"
"112","red light","21","2","true","1","5000","825","97","30505.05090168454","1387.2052864274485"
"113","stop sign","22","2","true","1","5000","990","111","3084.2889153783253","3989.4155895461868"
"70","red light","35","1","true","1","5000","887","48","42414.30342350797","569.5259801801794"
"119","stop sign","25","2","true","1","5000","1101","97","3844.3132190760366","2790.3261677332575"
"108","red light","19","2","true","1","5000","799","107","27688.73384138547","1928.8900624857959"
"117","stop sign","24","2","true","1","5000","1044","109","3658.2549026642764","3058.425423403239"
"114","red light","22","2","true","1","5000","837","106","29726.79204690559","1768.7603682669358"
"116","red light","23","2","true","1","5000","822","95","31114.64592193573","1294.2200062299264"
"118","red light","24","2","true","1","5000","833","98","36804.01236634079","1450.0159416267672"
"95","stop sign","13","2","true","1","5000","616","114","1184.1187322608882","878.4780576754537"
"121","stop sign","26","2","true","1","5000","1161","107","4608.798279729703","11379.225276891464"
"122","red light","26","2","true","1","5000","861","103","38077.68653114331","1159.0085499322472"
"120","red light","25","2","true","1","5000","861","96","35606.62805175574","1123.0337739525194"
"127","stop sign","29","2","true","1","5000","1224","103","6290.083391157186","8906.708361798004"
"123","stop sign","27","2","true","1","5000","1158","99","4481.078575299496","5410.296062827734"
"129","stop sign","30","2","true","1","5000","1245","95","5568.432325381463","14474.072219336562"
"125","stop sign","28","2","true","1","5000","1174","112","4721.117092532423","6576.732369019746"
"124","red light","27","2","true","1","5000","846","92","38778.208659672164","1558.8076138543418"
"102","red light","16","2","true","1","5000","734","96","19394.456571710805","1414.1197974910294"
"130","red light","30","2","true","1","5000","852","101","41768.025012132544","1341.132994847747"
"115","stop sign","23","2","true","1","5000","1034","130","3005.3367110584554","4226.436773311359"
"128","red light","29","2","true","1","5000","865","96","39138.48623755903","1283.9278458967983"
"131","stop sign","31","2","true","1","5000","1302","91","6613.056967732923","13575.327544642345"
"137","stop sign","34","2","true","1","5000","1362","87","7800.010420018392","25246.16539082253"
"143","stop sign","2","3","true","1","5000","88","155","77.02102753653976","259.29603761430565"
"141","stop sign","1","3","true","1","5000","49","156","31.03830649435333","173.09430128708607"
"132","red light","31","2","true","1","5000","852","119","43469.36725185351","1793.5573843061818"
"139","stop sign","35","2","true","1","5000","1363","80","8315.861592035553","30200.336467641904"
"134","red light","32","2","true","1","5000","877","86","40787.866971596224","1589.77862139131"
"135","stop sign","33","2","true","1","5000","1379","98","7615.826778978989","32489.666680818256"
"136","red light","33","2","true","1","5000","875","116","41899.7159288385","1776.92343856993"
"138","red light","34","2","true","1","5000","861","90","42087.76754964601","1236.236330219546"
"126","red light","28","2","true","1","5000","850","83","40397.62133424563","1490.3370929742525"
"140","red light","35","2","true","1","5000","872","80","42670.659692453984","1135.9459327509462"
"147","stop sign","4","3","true","1","5000","224","154","228.32337629520455","328.8170613239019"
"146","red light","3","3","true","1","5000","153","141","2726.611179196293","2201.4955219592916"
"148","red light","4","3","true","1","5000","185","133","2907.9718048272935","1886.2998206627717"
"151","stop sign","6","3","true","1","5000","271","151","359.5636827272513","339.38324167917904"
"145","stop sign","3","3","true","1","5000","160","162","132.76667756181558","273.46083250283436"
"149","stop sign","5","3","true","1","5000","243","134","317.9764134742351","320.9332171592281"
"153","stop sign","7","3","true","1","5000","343","144","477.5129241057589","385.9714571147676"
"150","red light","5","3","true","1","5000","232","168","3586.9730237627546","2227.1028120352516"
"152","red light","6","3","true","1","5000","292","140","5082.953887201178","2093.351972274126"
"155","stop sign","8","3","true","1","5000","389","138","619.72928083958","526.0942855244925"
"142","red light","1","3","true","1","5000","47","158","759.1176035931791","2845.855881001818"
"157","stop sign","9","3","true","1","5000","457","127","665.7224881989071","614.8961805977789"
"161","stop sign","11","3","true","1","5000","526","151","839.9963458305081","1193.2067562702944"
"158","red light","9","3","true","1","5000","454","122","9363.670370953347","2085.989337187574"
"133","stop sign","32","2","true","1","5000","1387","99","8720.31169926399","37538.10297072859"
